glm_cr,t_end,divB_max,divB_mean,steps,elapsed_wall_s
0.0,0.05,2.977,0.2708,29,0.1814196999766864
0.0,0.1,4.435,0.4896,56,0.3393100000103004
0.0,0.2,2.994,0.6497,106,0.6385459000011906
0.0,0.35,2.977,0.4965,181,0.970190799998818
0.0,0.5,3.03,0.63,258,1.3697172999964096
0.18,0.05,2.526,0.2414,29,0.19102509997901507
0.18,0.1,2.44,0.3197,56,0.33670869999332353
0.18,0.2,1.062,0.2784,105,0.5716538000269793
0.18,0.35,0.6644,0.1158,180,0.9725615000061225
0.18,0.5,0.2678,0.0758,256,1.3926098000083584
0.36,0.05,2.548,0.2536,29,0.1745797999901697
0.36,0.1,3.31,0.3931,56,0.31658519999473356
0.36,0.2,1.836,0.4257,105,0.5594599999894854
0.36,0.35,1.429,0.2353,180,0.956375100009609
0.36,0.5,0.8429,0.2126,255,1.3281604000076186
