variant,precision,opt,fastmath,riemann,finite,rc,steps,divB_max,walltime_s,is_reference,L1_rho,L2_rho,Linf_rho,L1_By,L2_By,Linf_By,L1_p,L2_p,Linf_p,L1_vx,L2_vx,Linf_vx
cpu-double-O2-ieee-leq,double,O2,False,leq,True,0,761,0.0,0.19618019997142255,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu-double-O2-ieee-strict,double,O2,False,strict,True,0,761,0.0,0.19378229998983443,False,4.683926857484977e-16,7.713402241544514e-16,3.885780586188048e-15,3.6261792180081187e-16,7.122703192035188e-16,1.1435297153639112e-14,4.0328851369508814e-16,8.041025461030828e-16,1.3766765505351941e-14,7.099421057148586e-16,1.539612205044523e-15,2.2370993946196904e-14
cpu-double-O2-fastmath-leq,double,O2,True,leq,True,0,761,0.0,0.17130410007666796,False,4.3506864777498324e-16,7.087352401676692e-16,4.413136522884997e-15,4.007991855070614e-16,7.238188114797011e-16,7.327471962526033e-15,3.8698211302090615e-16,7.413466965664634e-16,1.099120794378905e-14,6.611848401013742e-16,1.1849893967008378e-15,1.1400602684119576e-14
cpu-double-O2-fastmath-strict,double,O2,True,strict,True,0,761,0.0,0.19365899998228997,False,4.478535597929323e-16,7.494161218467973e-16,3.774758283725532e-15,3.090670080974078e-16,5.084159928063822e-16,2.220446049250313e-15,3.6609604237014536e-16,5.578318321631838e-16,2.3314683517128287e-15,5.960112275155632e-16,9.85402441101259e-16,4.6074255521944e-15
cpu-double-O3-ieee-leq,double,O3,False,leq,True,0,761,0.0,0.19357640005182475,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu-double-O3-ieee-strict,double,O3,False,strict,True,0,761,0.0,0.19188259996008128,False,4.683926857484977e-16,7.713402241544514e-16,3.885780586188048e-15,3.6261792180081187e-16,7.122703192035188e-16,1.1435297153639112e-14,4.0328851369508814e-16,8.041025461030828e-16,1.3766765505351941e-14,7.099421057148586e-16,1.539612205044523e-15,2.2370993946196904e-14
cpu-double-O3-fastmath-leq,double,O3,True,leq,True,0,761,0.0,0.19906929996795952,False,4.3506864777498324e-16,7.087352401676692e-16,4.413136522884997e-15,4.007991855070614e-16,7.238188114797011e-16,7.327471962526033e-15,3.8698211302090615e-16,7.413466965664634e-16,1.099120794378905e-14,6.611848401013742e-16,1.1849893967008378e-15,1.1400602684119576e-14
cpu-double-O3-fastmath-strict,double,O3,True,strict,True,0,761,0.0,0.19816149992402643,False,4.478535597929323e-16,7.494161218467973e-16,3.774758283725532e-15,3.090670080974078e-16,5.084159928063822e-16,2.220446049250313e-15,3.6609604237014536e-16,5.578318321631838e-16,2.3314683517128287e-15,5.960112275155632e-16,9.85402441101259e-16,4.6074255521944e-15
cpu-double-Ofast-ieee-leq,double,Ofast,False,leq,True,0,761,0.0,0.1913915000623092,False,4.3506864777498324e-16,7.087352401676692e-16,4.413136522884997e-15,4.007991855070614e-16,7.238188114797011e-16,7.327471962526033e-15,3.8698211302090615e-16,7.413466965664634e-16,1.099120794378905e-14,6.611848401013742e-16,1.1849893967008378e-15,1.1400602684119576e-14
cpu-double-Ofast-ieee-strict,double,Ofast,False,strict,True,0,761,0.0,0.19330440007615834,False,4.478535597929323e-16,7.494161218467973e-16,3.774758283725532e-15,3.090670080974078e-16,5.084159928063822e-16,2.220446049250313e-15,3.6609604237014536e-16,5.578318321631838e-16,2.3314683517128287e-15,5.960112275155632e-16,9.85402441101259e-16,4.6074255521944e-15
