variant,precision,opt,fastmath,riemann,finite,rc,steps,divB_max,walltime_s,is_reference,L1_rho,L2_rho,Linf_rho,L1_By,L2_By,Linf_By,L1_p,L2_p,Linf_p,L1_vx,L2_vx,Linf_vx
cpu-double-O2-ieee-leq,double,O2,False,leq,True,0,759,4.441e-14,0.1653970000334084,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu-double-O2-ieee-strict,double,O2,False,strict,True,0,759,4.441e-14,0.14681970002129674,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu-double-O2-fastmath-leq,double,O2,True,leq,True,0,759,0.0,0.17525539989583194,False,2.3708465746175025e-16,3.908165291135101e-16,1.887379141862766e-15,2.714104982426413e-16,4.627319025766094e-16,2.3314683517128287e-15,2.982336599899327e-16,5.009862177271393e-16,2.4424906541753444e-15,5.728074416794512e-16,9.483426881781895e-16,3.858025010572419e-15
cpu-double-O2-fastmath-strict,double,O2,True,strict,True,0,759,0.0,0.17169290012679994,False,2.3708465746175025e-16,3.908165291135101e-16,1.887379141862766e-15,2.714104982426413e-16,4.627319025766094e-16,2.3314683517128287e-15,2.982336599899327e-16,5.009862177271393e-16,2.4424906541753444e-15,5.728074416794512e-16,9.483426881781895e-16,3.858025010572419e-15
cpu-double-O3-ieee-leq,double,O3,False,leq,True,0,759,4.441e-14,0.17192999995313585,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu-double-O3-ieee-strict,double,O3,False,strict,True,0,759,4.441e-14,0.18102379981428385,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu-double-O3-fastmath-leq,double,O3,True,leq,True,0,759,0.0,0.1691006999462843,False,2.3708465746175025e-16,3.908165291135101e-16,1.887379141862766e-15,2.714104982426413e-16,4.627319025766094e-16,2.3314683517128287e-15,2.982336599899327e-16,5.009862177271393e-16,2.4424906541753444e-15,5.728074416794512e-16,9.483426881781895e-16,3.858025010572419e-15
cpu-double-O3-fastmath-strict,double,O3,True,strict,True,0,759,0.0,0.176256800070405,False,2.3708465746175025e-16,3.908165291135101e-16,1.887379141862766e-15,2.714104982426413e-16,4.627319025766094e-16,2.3314683517128287e-15,2.982336599899327e-16,5.009862177271393e-16,2.4424906541753444e-15,5.728074416794512e-16,9.483426881781895e-16,3.858025010572419e-15
cpu-double-Ofast-ieee-leq,double,Ofast,False,leq,True,0,759,0.0,0.14586379984393716,False,2.3708465746175025e-16,3.908165291135101e-16,1.887379141862766e-15,2.714104982426413e-16,4.627319025766094e-16,2.3314683517128287e-15,2.982336599899327e-16,5.009862177271393e-16,2.4424906541753444e-15,5.728074416794512e-16,9.483426881781895e-16,3.858025010572419e-15
cpu-double-Ofast-ieee-strict,double,Ofast,False,strict,True,0,759,0.0,0.1697564001660794,False,2.3708465746175025e-16,3.908165291135101e-16,1.887379141862766e-15,2.714104982426413e-16,4.627319025766094e-16,2.3314683517128287e-15,2.982336599899327e-16,5.009862177271393e-16,2.4424906541753444e-15,5.728074416794512e-16,9.483426881781895e-16,3.858025010572419e-15
cpu-double-Ofast-fastmath-leq,double,Ofast,True,leq,True,0,759,0.0,0.17482580011710525,False,2.3708465746175025e-16,3.908165291135101e-16,1.887379141862766e-15,2.714104982426413e-16,4.627319025766094e-16,2.3314683517128287e-15,2.982336599899327e-16,5.009862177271393e-16,2.4424906541753444e-15,5.728074416794512e-16,9.483426881781895e-16,3.858025010572419e-15
cpu-double-Ofast-fastmath-strict,double,Ofast,True,strict,True,0,759,0.0,0.17319490015506744,False,2.3708465746175025e-16,3.908165291135101e-16,1.887379141862766e-15,2.714104982426413e-16,4.627319025766094e-16,2.3314683517128287e-15,2.982336599899327e-16,5.009862177271393e-16,2.4424906541753444e-15,5.728074416794512e-16,9.483426881781895e-16,3.858025010572419e-15
cpu-float-O2-ieee-leq,float,O2,False,leq,True,0,759,0.0,0.12731720018200576,False,7.882574032899722e-08,1.432129132030242e-07,1.075167475605987e-06,9.221763949358817e-08,1.745171052894174e-07,9.56222249715033e-07,1.1417617451681677e-07,1.8612459959573686e-07,8.4764803021109e-07,1.947204960684316e-07,3.2743802518208345e-07,1.5686030066033863e-06
cpu-float-O2-ieee-strict,float,O2,False,strict,True,0,759,0.0,0.1253567999228835,False,7.882574032899722e-08,1.432129132030242e-07,1.075167475605987e-06,9.221763949358817e-08,1.745171052894174e-07,9.56222249715033e-07,1.1417617451681677e-07,1.8612459959573686e-07,8.4764803021109e-07,1.947204960684316e-07,3.2743802518208345e-07,1.5686030066033863e-06
cpu-float-O2-fastmath-leq,float,O2,True,leq,True,0,759,0.0,0.12305269995704293,False,9.321573716049016e-08,1.7337094612448776e-07,9.29133896931944e-07,9.908299169114333e-08,1.7749541009053786e-07,1.5097946416409158e-06,1.1045826874132166e-07,1.8724045416042503e-07,1.5346323517517746e-06,1.7620903126125794e-07,3.00867610133495e-07,1.9830211069882253e-06
cpu-float-O2-fastmath-strict,float,O2,True,strict,True,0,759,0.0,0.1259635000023991,False,9.321573716049016e-08,1.7337094612448776e-07,9.29133896931944e-07,9.908299169114333e-08,1.7749541009053786e-07,1.5097946416409158e-06,1.1045826874132166e-07,1.8724045416042503e-07,1.5346323517517746e-06,1.7620903126125794e-07,3.00867610133495e-07,1.9830211069882253e-06
cpu-float-O3-ieee-leq,float,O3,False,leq,True,0,759,0.0,0.1250207000412047,False,7.882574032899722e-08,1.432129132030242e-07,1.075167475605987e-06,9.221763949358817e-08,1.745171052894174e-07,9.56222249715033e-07,1.1417617451681677e-07,1.8612459959573686e-07,8.4764803021109e-07,1.947204960684316e-07,3.2743802518208345e-07,1.5686030066033863e-06
cpu-float-O3-ieee-strict,float,O3,False,strict,True,0,759,0.0,0.12534669996239245,False,7.882574032899722e-08,1.432129132030242e-07,1.075167475605987e-06,9.221763949358817e-08,1.745171052894174e-07,9.56222249715033e-07,1.1417617451681677e-07,1.8612459959573686e-07,8.4764803021109e-07,1.947204960684316e-07,3.2743802518208345e-07,1.5686030066033863e-06
cpu-float-O3-fastmath-leq,float,O3,True,leq,True,0,759,0.0,0.12724140007048845,False,9.321573716049016e-08,1.7337094612448776e-07,9.29133896931944e-07,9.908299169114333e-08,1.7749541009053786e-07,1.5097946416409158e-06,1.1045826874132166e-07,1.8724045416042503e-07,1.5346323517517746e-06,1.7620903126125794e-07,3.00867610133495e-07,1.9830211069882253e-06
cpu-float-O3-fastmath-strict,float,O3,True,strict,True,0,759,0.0,0.12993540009483695,False,9.321573716049016e-08,1.7337094612448776e-07,9.29133896931944e-07,9.908299169114333e-08,1.7749541009053786e-07,1.5097946416409158e-06,1.1045826874132166e-07,1.8724045416042503e-07,1.5346323517517746e-06,1.7620903126125794e-07,3.00867610133495e-07,1.9830211069882253e-06
cpu-float-Ofast-ieee-leq,float,Ofast,False,leq,True,0,759,0.0,0.12380130006931722,False,9.321573716049016e-08,1.7337094612448776e-07,9.29133896931944e-07,9.908299169114333e-08,1.7749541009053786e-07,1.5097946416409158e-06,1.1045826874132166e-07,1.8724045416042503e-07,1.5346323517517746e-06,1.7620903126125794e-07,3.00867610133495e-07,1.9830211069882253e-06
cpu-float-Ofast-ieee-strict,float,Ofast,False,strict,True,0,759,0.0,0.12195049994625151,False,9.321573716049016e-08,1.7337094612448776e-07,9.29133896931944e-07,9.908299169114333e-08,1.7749541009053786e-07,1.5097946416409158e-06,1.1045826874132166e-07,1.8724045416042503e-07,1.5346323517517746e-06,1.7620903126125794e-07,3.00867610133495e-07,1.9830211069882253e-06
cpu-float-Ofast-fastmath-leq,float,Ofast,True,leq,True,0,759,0.0,0.12494230014272034,False,9.321573716049016e-08,1.7337094612448776e-07,9.29133896931944e-07,9.908299169114333e-08,1.7749541009053786e-07,1.5097946416409158e-06,1.1045826874132166e-07,1.8724045416042503e-07,1.5346323517517746e-06,1.7620903126125794e-07,3.00867610133495e-07,1.9830211069882253e-06
cpu-float-Ofast-fastmath-strict,float,Ofast,True,strict,True,0,759,0.0,0.12309830007143319,False,9.321573716049016e-08,1.7337094612448776e-07,9.29133896931944e-07,9.908299169114333e-08,1.7749541009053786e-07,1.5097946416409158e-06,1.1045826874132166e-07,1.8724045416042503e-07,1.5346323517517746e-06,1.7620903126125794e-07,3.00867610133495e-07,1.9830211069882253e-06
