case,pair,variable,time,l1,linf,lambda_l1,lambda_linf,n_fit_l1,n_fit_linf
brio_wu_1d,fp32-vs-fp64,rho,0.009999999888241292,3.296722131812535e-09,1.6093409949125004e-07,30.61534848986609,18.57906146565356,13,13
brio_wu_1d,fp32-vs-fp64,rho,0.016428571311490878,6.520584318481931e-09,2.1492665369660102e-07,30.61534848986609,18.57906146565356,13,13
brio_wu_1d,fp32-vs-fp64,rho,0.022857142734740463,8.939027723846999e-09,2.696106018440503e-07,30.61534848986609,18.57906146565356,13,13
brio_wu_1d,fp32-vs-fp64,rho,0.02928571415799005,1.2917502988738645e-08,2.592669254841695e-07,30.61534848986609,18.57906146565356,13,13
brio_wu_1d,fp32-vs-fp64,rho,0.03571428651256221,1.59962253802777e-08,2.9989776062500084e-07,30.61534848986609,18.57906146565356,13,13
brio_wu_1d,fp32-vs-fp64,rho,0.04214285700448922,2.2264773038242063e-08,3.1462730376574655e-07,30.61534848986609,18.57906146565356,13,13
brio_wu_1d,fp32-vs-fp64,rho,0.04857142935906138,2.7437877106722268e-08,6.266219870765255e-07,30.61534848986609,18.57906146565356,13,13
brio_wu_1d,fp32-vs-fp64,rho,0.05499999985098839,3.2836032533602177e-08,5.875914984576625e-07,30.61534848986609,18.57906146565356,13,13
brio_wu_1d,fp32-vs-fp64,rho,0.061428572205560555,3.451554573086907e-08,6.210682699236969e-07,30.61534848986609,18.57906146565356,13,13
brio_wu_1d,fp32-vs-fp64,rho,0.06785714456013271,4.362385697389767e-08,6.628714824818971e-07,30.61534848986609,18.57906146565356,13,13
brio_wu_1d,fp32-vs-fp64,rho,0.07428571505205972,5.2511841726401995e-08,5.996037175659552e-07,30.61534848986609,18.57906146565356,13,13
brio_wu_1d,fp32-vs-fp64,rho,0.08071428554398674,6.381709043722789e-08,9.785143907370397e-07,30.61534848986609,18.57906146565356,13,13
brio_wu_1d,fp32-vs-fp64,rho,0.08714285603591373,6.389628764520358e-08,7.986691831218806e-07,30.61534848986609,18.57906146565356,13,13
brio_wu_1d,fp32-vs-fp64,rho,0.09357143025313105,7.254301866920291e-08,7.420832626170437e-07,30.61534848986609,18.57906146565356,13,13
brio_wu_1d,fp32-vs-fp64,rho,0.10000000074505806,7.882574209088985e-08,1.075167475605987e-06,30.61534848986609,18.57906146565356,13,13
orszag_tang_2d,fp32-vs-fp64,rho,0.05000000037252903,2.9080883701229935e-07,2.184912271552264e-06,0.029343098002640955,-0.04223342136545145,10,10
orszag_tang_2d,fp32-vs-fp64,rho,0.08958333159486453,3.7022604494794877e-07,3.988726577919266e-06,0.029343098002640955,-0.04223342136545145,10,10
orszag_tang_2d,fp32-vs-fp64,rho,0.12916666467984517,3.925827985625755e-07,3.0082042203893877e-06,0.029343098002640955,-0.04223342136545145,10,10
orszag_tang_2d,fp32-vs-fp64,rho,0.16875000149011612,3.9581115063045476e-07,5.568500035746382e-06,0.029343098002640955,-0.04223342136545145,10,10
orszag_tang_2d,fp32-vs-fp64,rho,0.20833333084980646,3.9947894056661633e-07,4.790143504074251e-06,0.029343098002640955,-0.04223342136545145,10,10
orszag_tang_2d,fp32-vs-fp64,rho,0.24791666766007742,4.183962925953191e-07,4.8382107644684424e-06,0.029343098002640955,-0.04223342136545145,10,10
orszag_tang_2d,fp32-vs-fp64,rho,0.28749999701976775,4.175082450441202e-07,4.061498241725303e-06,0.029343098002640955,-0.04223342136545145,10,10
orszag_tang_2d,fp32-vs-fp64,rho,0.32708332637945814,4.296389844813265e-07,5.635628308020557e-06,0.029343098002640955,-0.04223342136545145,10,10
orszag_tang_2d,fp32-vs-fp64,rho,0.36666667064030967,4.3279452820835397e-07,5.615327632213507e-06,0.029343098002640955,-0.04223342136545145,10,10
orszag_tang_2d,fp32-vs-fp64,rho,0.40625,4.170789803988333e-07,4.027750944768371e-06,0.029343098002640955,-0.04223342136545145,10,10
orszag_tang_2d,fp32-vs-fp64,rho,0.44583332935969033,4.0138643538595406e-07,3.5163306093544122e-06,0.029343098002640955,-0.04223342136545145,10,10
orszag_tang_2d,fp32-vs-fp64,rho,0.48541667362054186,3.8174376088691254e-07,4.2143911302972015e-06,0.029343098002640955,-0.04223342136545145,10,10
orszag_tang_2d,fp32-vs-fp64,rho,0.524999988079071,3.904979382346593e-07,3.1346714264302022e-06,0.029343098002640955,-0.04223342136545145,10,10
orszag_tang_2d,fp32-vs-fp64,rho,0.5645833472410837,3.819397210932127e-07,2.9399390686357663e-06,0.029343098002640955,-0.04223342136545145,10,10
orszag_tang_2d,fp32-vs-fp64,rho,0.6041666766007742,3.6951544892999447e-07,2.694430149219329e-06,0.029343098002640955,-0.04223342136545145,10,10
orszag_tang_2d,fp32-vs-fp64,rho,0.6437500059604645,3.5307785850444877e-07,2.7583762092220354e-06,0.029343098002640955,-0.04223342136545145,10,10
orszag_tang_2d,fp32-vs-fp64,rho,0.6833333353201548,3.676105371479022e-07,4.35143079435818e-06,0.029343098002640955,-0.04223342136545145,10,10
orszag_tang_2d,fp32-vs-fp64,rho,0.7229166646798452,3.566898037407878e-07,4.3859022236247824e-06,0.029343098002640955,-0.04223342136545145,10,10
orszag_tang_2d,fp32-vs-fp64,rho,0.7624999940395355,3.8296671598006375e-07,4.631448968339669e-06,0.029343098002640955,-0.04223342136545145,10,10
orszag_tang_2d,fp32-vs-fp64,rho,0.802083323399226,3.809425195002515e-07,3.413093742299367e-06,0.029343098002640955,-0.04223342136545145,10,10
orszag_tang_2d,fp32-vs-fp64,rho,0.8416666527589163,3.893417938061205e-07,2.1750327006131442e-06,0.029343098002640955,-0.04223342136545145,10,10
orszag_tang_2d,fp32-vs-fp64,rho,0.881250011920929,3.96562861294629e-07,2.642380139583622e-06,0.029343098002640955,-0.04223342136545145,10,10
orszag_tang_2d,fp32-vs-fp64,rho,0.9208333412806193,3.869189519663404e-07,2.20881334644929e-06,0.029343098002640955,-0.04223342136545145,10,10
orszag_tang_2d,fp32-vs-fp64,rho,0.9604166706403097,3.867042301605478e-07,2.5705637054507235e-06,0.029343098002640955,-0.04223342136545145,10,10
orszag_tang_2d,fp32-vs-fp64,rho,1.0,3.8753775371907183e-07,1.8903408340875671e-06,0.029343098002640955,-0.04223342136545145,10,10
