variant,precision,opt,fastmath,riemann,solver,case,nx,ny,t_end,finite,rc,steps,divB_max,walltime_s,is_reference,L1_rho,L2_rho,Linf_rho,L1_By,L2_By,Linf_By,L1_p,L2_p,Linf_p,L1_vx,L2_vx,Linf_vx
cpu-double-O2-ieee-leq,double,O2,False,leq,hll,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.0006714,37.632491800002754,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu-double-O2-ieee-strict,double,O2,False,strict,hll,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.0006714,36.87306090001948,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu-double-O2-fastmath-leq,double,O2,True,leq,hll,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.0006714,38.011162300012074,False,9.30900322104744e-14,7.52010610123062e-15,1.9984014443252818e-15,1.5495544771801243e-14,1.2148655992075837e-15,4.0381109914222613e-16,6.867553400957682e-14,5.638827995080549e-15,1.3322676295501878e-15,5.309418988541493e-14,4.225431989582968e-15,1.2212453270876722e-15
cpu-double-O2-fastmath-strict,double,O2,True,strict,hll,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.0006714,38.494433099986054,False,9.30900322104744e-14,7.52010610123062e-15,1.9984014443252818e-15,1.5495544771801243e-14,1.2148655992075837e-15,4.0381109914222613e-16,6.867553400957682e-14,5.638827995080549e-15,1.3322676295501878e-15,5.309418988541493e-14,4.225431989582968e-15,1.2212453270876722e-15
cpu-double-O3-ieee-leq,double,O3,False,leq,hll,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.0006714,37.25874890002888,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu-double-O3-ieee-strict,double,O3,False,strict,hll,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.0006714,38.35055570001714,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu-double-O3-fastmath-leq,double,O3,True,leq,hll,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.0006714,39.75106829998549,False,9.30900322104744e-14,7.52010610123062e-15,1.9984014443252818e-15,1.5495544771801243e-14,1.2148655992075837e-15,4.0381109914222613e-16,6.867553400957682e-14,5.638827995080549e-15,1.3322676295501878e-15,5.309418988541493e-14,4.225431989582968e-15,1.2212453270876722e-15
cpu-double-O3-fastmath-strict,double,O3,True,strict,hll,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.0006714,38.46051110001281,False,9.30900322104744e-14,7.52010610123062e-15,1.9984014443252818e-15,1.5495544771801243e-14,1.2148655992075837e-15,4.0381109914222613e-16,6.867553400957682e-14,5.638827995080549e-15,1.3322676295501878e-15,5.309418988541493e-14,4.225431989582968e-15,1.2212453270876722e-15
cpu-double-Ofast-ieee-leq,double,Ofast,False,leq,hll,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.0006714,38.33714369998779,False,9.30900322104744e-14,7.52010610123062e-15,1.9984014443252818e-15,1.5495544771801243e-14,1.2148655992075837e-15,4.0381109914222613e-16,6.867553400957682e-14,5.638827995080549e-15,1.3322676295501878e-15,5.309418988541493e-14,4.225431989582968e-15,1.2212453270876722e-15
cpu-double-Ofast-ieee-strict,double,Ofast,False,strict,hll,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.0006714,37.81527610006742,False,9.30900322104744e-14,7.52010610123062e-15,1.9984014443252818e-15,1.5495544771801243e-14,1.2148655992075837e-15,4.0381109914222613e-16,6.867553400957682e-14,5.638827995080549e-15,1.3322676295501878e-15,5.309418988541493e-14,4.225431989582968e-15,1.2212453270876722e-15
cpu-double-Ofast-fastmath-leq,double,Ofast,True,leq,hll,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.0006714,37.658919500070624,False,9.30900322104744e-14,7.52010610123062e-15,1.9984014443252818e-15,1.5495544771801243e-14,1.2148655992075837e-15,4.0381109914222613e-16,6.867553400957682e-14,5.638827995080549e-15,1.3322676295501878e-15,5.309418988541493e-14,4.225431989582968e-15,1.2212453270876722e-15
cpu-double-Ofast-fastmath-strict,double,Ofast,True,strict,hll,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.0006714,34.81659940001555,False,9.30900322104744e-14,7.52010610123062e-15,1.9984014443252818e-15,1.5495544771801243e-14,1.2148655992075837e-15,4.0381109914222613e-16,6.867553400957682e-14,5.638827995080549e-15,1.3322676295501878e-15,5.309418988541493e-14,4.225431989582968e-15,1.2212453270876722e-15
cpu-float-O2-ieee-leq,float,O2,False,leq,hll,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.0006721,28.64903410000261,False,7.364790448382641e-05,6.229764576386561e-06,1.7860425698401627e-06,1.2422532607724941e-05,1.000513245472776e-06,2.673616047057896e-07,3.932708355145831e-05,3.086215940002913e-06,7.733918854224697e-07,3.516955426427551e-05,2.9051106113297376e-06,9.90288062330258e-07
cpu-float-O2-ieee-strict,float,O2,False,strict,hll,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.0006721,29.407434899942018,False,7.364790448382641e-05,6.229764576386561e-06,1.7860425698401627e-06,1.2422532607724941e-05,1.000513245472776e-06,2.673616047057896e-07,3.932708355145831e-05,3.086215940002913e-06,7.733918854224697e-07,3.516955426427551e-05,2.9051106113297376e-06,9.90288062330258e-07
cpu-float-O2-fastmath-leq,float,O2,True,leq,hll,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.0006728,29.455584199982695,False,7.375016347127518e-05,6.250958335880799e-06,1.8214193864274364e-06,1.1734671825367358e-05,9.55423955985867e-07,2.838715360642483e-07,4.04792481431028e-05,3.1743477743126616e-06,8.733315024489485e-07,3.547718886161679e-05,2.938850604773775e-06,1.0311024490894383e-06
cpu-float-O2-fastmath-strict,float,O2,True,strict,hll,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.0006728,28.19505790004041,False,7.375016347127518e-05,6.250958335880799e-06,1.8214193864274364e-06,1.1734671825367358e-05,9.55423955985867e-07,2.838715360642483e-07,4.04792481431028e-05,3.1743477743126616e-06,8.733315024489485e-07,3.547718886161679e-05,2.938850604773775e-06,1.0311024490894383e-06
cpu-float-O3-ieee-leq,float,O3,False,leq,hll,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.0006721,27.902367900009267,False,7.364790448382641e-05,6.229764576386561e-06,1.7860425698401627e-06,1.2422532607724941e-05,1.000513245472776e-06,2.673616047057896e-07,3.932708355145831e-05,3.086215940002913e-06,7.733918854224697e-07,3.516955426427551e-05,2.9051106113297376e-06,9.90288062330258e-07
cpu-float-O3-ieee-strict,float,O3,False,strict,hll,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.0006721,28.077788700000383,False,7.364790448382641e-05,6.229764576386561e-06,1.7860425698401627e-06,1.2422532607724941e-05,1.000513245472776e-06,2.673616047057896e-07,3.932708355145831e-05,3.086215940002913e-06,7.733918854224697e-07,3.516955426427551e-05,2.9051106113297376e-06,9.90288062330258e-07
cpu-float-O3-fastmath-leq,float,O3,True,leq,hll,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.0006728,29.118460900033824,False,7.375016347127518e-05,6.250958335880799e-06,1.8214193864274364e-06,1.1734671825367358e-05,9.55423955985867e-07,2.838715360642483e-07,4.04792481431028e-05,3.1743477743126616e-06,8.733315024489485e-07,3.547718886161679e-05,2.938850604773775e-06,1.0311024490894383e-06
cpu-float-O3-fastmath-strict,float,O3,True,strict,hll,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.0006728,28.260011399979703,False,7.375016347127518e-05,6.250958335880799e-06,1.8214193864274364e-06,1.1734671825367358e-05,9.55423955985867e-07,2.838715360642483e-07,4.04792481431028e-05,3.1743477743126616e-06,8.733315024489485e-07,3.547718886161679e-05,2.938850604773775e-06,1.0311024490894383e-06
cpu-float-Ofast-ieee-leq,float,Ofast,False,leq,hll,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.0006728,28.329969400074333,False,7.375016347127518e-05,6.250958335880799e-06,1.8214193864274364e-06,1.1734671825367358e-05,9.55423955985867e-07,2.838715360642483e-07,4.04792481431028e-05,3.1743477743126616e-06,8.733315024489485e-07,3.547718886161679e-05,2.938850604773775e-06,1.0311024490894383e-06
cpu-float-Ofast-ieee-strict,float,Ofast,False,strict,hll,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.0006728,28.39558540005237,False,7.375016347127518e-05,6.250958335880799e-06,1.8214193864274364e-06,1.1734671825367358e-05,9.55423955985867e-07,2.838715360642483e-07,4.04792481431028e-05,3.1743477743126616e-06,8.733315024489485e-07,3.547718886161679e-05,2.938850604773775e-06,1.0311024490894383e-06
cpu-float-Ofast-fastmath-leq,float,Ofast,True,leq,hll,kelvin_helmholtz_2d,256,256,1.0,True,0,1148,0.0006728,28.81741839996539,False,7.375016347127518e-05,6.250958335880799e-06,1.8214193864274364e-06,1.1734671825367358e-05,9.55423955985867e-07,2.838715360642483e-07,4.04792481431028e-05,3.1743477743126616e-06,8.733315024489485e-07,3.547718886161679e-05,2.938850604773775e-06,1.0311024490894383e-06
