case,solver,precision,resolution,cfl,gamma,steps,divB_mean,divB_max,wall_time_s,binary,binary_sha256,run_dir,status,failure_category,failure_message,output_precision_bytes,finite,physical_state,rho_min,pressure_min,rho_l1_fp32_vs_fp64,rho_l2_fp32_vs_fp64,rho_linf_fp32_vs_fp64
orszag_tang_2d,hll,double,128,0.4,1.6666666666666667,396,0.1364,1.734,3.0876097000436857,build-matrix\cpu-double-O2-ieee-leq\hrsc_mhd.exe,788de993d8eb46f911ee2e7b1416bc0782248368e963238bb00a3118baa79179,experiments/week18/resolution_ladder/runs/orszag_tang_2d-hll-double-n128,completed,,,8,True,True,1.2897721358739263,0.5166541900569813,3.825191669969201e-07,5.084198546504716e-07,3.5649657368352905e-06
orszag_tang_2d,hll,double,256,0.4,1.6666666666666667,806,0.1225,3.72,24.317184500047006,build-matrix\cpu-double-O2-ieee-leq\hrsc_mhd.exe,788de993d8eb46f911ee2e7b1416bc0782248368e963238bb00a3118baa79179,experiments/week18/resolution_ladder/runs/orszag_tang_2d-hll-double-n256,completed,,,8,True,True,1.2702516292532986,0.4686934193105653,7.895779157812046e-07,1.122013651171948e-06,9.886709070094923e-06
orszag_tang_2d,hll,double,512,0.4,1.6666666666666667,1630,0.1036,7.729,206.31521979998797,build-matrix\cpu-double-O2-ieee-leq\hrsc_mhd.exe,788de993d8eb46f911ee2e7b1416bc0782248368e963238bb00a3118baa79179,experiments/week18/resolution_ladder/runs/orszag_tang_2d-hll-double-n512,completed,,,8,True,True,1.2438869160437982,0.42659845835238996,9.080417247902944e-06,1.382821342434927e-05,0.0001676256984384228
orszag_tang_2d,hll,float,128,0.4,1.6666666666666667,396,0.1364,1.734,2.492654100060463,build-matrix\cpu-float-O2-ieee-leq\hrsc_mhd.exe,da3811ae8e4e046b061719d4174ac98f201e0ee840d7b528fafa9b327a71c1d9,experiments/week18/resolution_ladder/runs/orszag_tang_2d-hll-float-n128,completed,,,4,True,True,1.289772391319275,0.5166542574484673,3.825191669969201e-07,5.084198546504716e-07,3.5649657368352905e-06
orszag_tang_2d,hll,float,256,0.4,1.6666666666666667,806,0.1225,3.72,20.007625900092535,build-matrix\cpu-float-O2-ieee-leq\hrsc_mhd.exe,da3811ae8e4e046b061719d4174ac98f201e0ee840d7b528fafa9b327a71c1d9,experiments/week18/resolution_ladder/runs/orszag_tang_2d-hll-float-n256,completed,,,4,True,True,1.270251750946045,0.46869346270307904,7.895779157812046e-07,1.122013651171948e-06,9.886709070094923e-06
orszag_tang_2d,hll,float,512,0.4,1.6666666666666667,1630,0.1036,7.729,164.49756300006993,build-matrix\cpu-float-O2-ieee-leq\hrsc_mhd.exe,da3811ae8e4e046b061719d4174ac98f201e0ee840d7b528fafa9b327a71c1d9,experiments/week18/resolution_ladder/runs/orszag_tang_2d-hll-float-n512,completed,,,4,True,True,1.2438846826553345,0.4265980456530948,9.080417247902944e-06,1.382821342434927e-05,0.0001676256984384228
orszag_tang_2d,hlld,double,128,0.2,1.6666666666666667,801,0.2705,12.52,7.214969800086692,build-matrix\cpu-double-O2-ieee-leq\hrsc_mhd.exe,788de993d8eb46f911ee2e7b1416bc0782248368e963238bb00a3118baa79179,experiments/week18/resolution_ladder/runs/orszag_tang_2d-hlld-double-n128-cfl0p2,completed,,,8,True,True,1.2858975894688927,0.4869751992506757,2.1465241065140233e-06,1.3765364374854885e-05,0.0006687343852012084
orszag_tang_2d,hlld,double,256,0.2,1.6666666666666667,1622,0.2377,23.94,57.011177200009115,build-matrix\cpu-double-O2-ieee-leq\hrsc_mhd.exe,788de993d8eb46f911ee2e7b1416bc0782248368e963238bb00a3118baa79179,experiments/week18/resolution_ladder/runs/orszag_tang_2d-hlld-double-n256-cfl0p2,completed,,,8,True,True,1.1780001593859175,0.4549745730250214,1.1269468735188894e-05,0.00015083502723474976,0.02596305105073471
orszag_tang_2d,hlld,double,512,0.2,1.6666666666666667,3277,0.1969,33.08,1279.4151716998313,build-matrix\cpu-double-O2-ieee-leq\hrsc_mhd.exe,6cb38f91936bfa749a61fd37cfe0986d14aeec1c45764442071ea9092f0d3ccd,experiments/diagnostics/hlld_positivity_guard/runs/orszag-tang-hlld-double-n512-cfl0p2,completed,,,8,True,True,1.097603940319804,0.37985529286241204,5.554106475580879e-05,0.00048328651963555527,0.05031345962367162
orszag_tang_2d,hlld,float,128,0.2,1.6666666666666667,801,0.2705,12.52,6.430988700012676,build-matrix\cpu-float-O2-ieee-leq\hrsc_mhd.exe,da3811ae8e4e046b061719d4174ac98f201e0ee840d7b528fafa9b327a71c1d9,experiments/week18/resolution_ladder/runs/orszag_tang_2d-hlld-float-n128-cfl0p2,completed,,,4,True,True,1.2858965396881104,0.4869752646055038,2.1465241065140233e-06,1.3765364374854885e-05,0.0006687343852012084
