binary,binary_sha256,case,completed,device,divB_max,elapsed_wall_s,finite,finite_positive,l1_mean_abs,linf_abs,nx,ny,precision,pressure_min,repeat,rho_min,run_config,solver,steps,suite,t,ulp_max
C:\Users\tangy\Desktop\floatpoint\build-double\hrsc_mhd.exe,db92496738da3eb444323cd0b631d897949c951a5f6eb0350adef17bc78fb669,brio_wu_1d,True,cpu,4.441e-14,0.16559960006270558,True,True,0.0,0.0,800,1,double,0.08785530910489714,1,0.11716054488890934,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\hardware_repeats\runs\brio_wu_1d-double-cpu-hll-r01\config.cfg,hll,759,hardware_repeats,0.1,0
C:\Users\tangy\Desktop\floatpoint\build-cuda\hrsc_mhd.exe,5f63747ce23cfc9c7e2cb02728ad4911347a13d09e657b24cb69a5ec7b3270f5,brio_wu_1d,True,gpu,4.441e-14,2.695170500082895,True,True,0.0,0.0,800,1,double,0.08785530910489714,1,0.11716054488890934,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\hardware_repeats\runs\brio_wu_1d-double-gpu-hll-r01\config.cfg,hll,759,hardware_repeats,0.1,0
C:\Users\tangy\Desktop\floatpoint\build-double\hrsc_mhd.exe,db92496738da3eb444323cd0b631d897949c951a5f6eb0350adef17bc78fb669,brio_wu_1d,True,cpu,4.441e-14,0.16173709998838603,True,True,0.0,0.0,800,1,double,0.08785530910489714,2,0.11716054488890934,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\hardware_repeats\runs\brio_wu_1d-double-cpu-hll-r02\config.cfg,hll,759,hardware_repeats,0.1,0
C:\Users\tangy\Desktop\floatpoint\build-cuda\hrsc_mhd.exe,5f63747ce23cfc9c7e2cb02728ad4911347a13d09e657b24cb69a5ec7b3270f5,brio_wu_1d,True,gpu,4.441e-14,0.3169378999155015,True,True,0.0,0.0,800,1,double,0.08785530910489714,2,0.11716054488890934,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\hardware_repeats\runs\brio_wu_1d-double-gpu-hll-r02\config.cfg,hll,759,hardware_repeats,0.1,0
C:\Users\tangy\Desktop\floatpoint\build-double\hrsc_mhd.exe,db92496738da3eb444323cd0b631d897949c951a5f6eb0350adef17bc78fb669,brio_wu_1d,True,cpu,4.441e-14,0.1820796999381855,True,True,0.0,0.0,800,1,double,0.08785530910489714,3,0.11716054488890934,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\hardware_repeats\runs\brio_wu_1d-double-cpu-hll-r03\config.cfg,hll,759,hardware_repeats,0.1,0
C:\Users\tangy\Desktop\floatpoint\build-cuda\hrsc_mhd.exe,5f63747ce23cfc9c7e2cb02728ad4911347a13d09e657b24cb69a5ec7b3270f5,brio_wu_1d,True,gpu,4.441e-14,0.3139889999292791,True,True,0.0,0.0,800,1,double,0.08785530910489714,3,0.11716054488890934,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\hardware_repeats\runs\brio_wu_1d-double-gpu-hll-r03\config.cfg,hll,759,hardware_repeats,0.1,0
C:\Users\tangy\Desktop\floatpoint\build-double\hrsc_mhd.exe,db92496738da3eb444323cd0b631d897949c951a5f6eb0350adef17bc78fb669,brio_wu_1d,True,cpu,4.441e-14,0.1520993000594899,True,True,0.0,0.0,800,1,double,0.08785530910489714,4,0.11716054488890934,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\hardware_repeats\runs\brio_wu_1d-double-cpu-hll-r04\config.cfg,hll,759,hardware_repeats,0.1,0
C:\Users\tangy\Desktop\floatpoint\build-cuda\hrsc_mhd.exe,5f63747ce23cfc9c7e2cb02728ad4911347a13d09e657b24cb69a5ec7b3270f5,brio_wu_1d,True,gpu,4.441e-14,0.30536040000151843,True,True,0.0,0.0,800,1,double,0.08785530910489714,4,0.11716054488890934,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\hardware_repeats\runs\brio_wu_1d-double-gpu-hll-r04\config.cfg,hll,759,hardware_repeats,0.1,0
C:\Users\tangy\Desktop\floatpoint\build-double\hrsc_mhd.exe,db92496738da3eb444323cd0b631d897949c951a5f6eb0350adef17bc78fb669,brio_wu_1d,True,cpu,4.441e-14,0.16208040004130453,True,True,0.0,0.0,800,1,double,0.08785530910489714,5,0.11716054488890934,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\hardware_repeats\runs\brio_wu_1d-double-cpu-hll-r05\config.cfg,hll,759,hardware_repeats,0.1,0
C:\Users\tangy\Desktop\floatpoint\build-cuda\hrsc_mhd.exe,5f63747ce23cfc9c7e2cb02728ad4911347a13d09e657b24cb69a5ec7b3270f5,brio_wu_1d,True,gpu,4.441e-14,0.30694900010712445,True,True,0.0,0.0,800,1,double,0.08785530910489714,5,0.11716054488890934,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\hardware_repeats\runs\brio_wu_1d-double-gpu-hll-r05\config.cfg,hll,759,hardware_repeats,0.1,0
C:\Users\tangy\Desktop\floatpoint\build-float\hrsc_mhd.exe,5d8aadb45892fbaefd4e61f2271ae8bb8a4a64bcd12aecacc4d83f6190e05529,brio_wu_1d,True,cpu,0.0,0.1371821000939235,True,True,0.0,0.0,800,1,float,0.08785521984100342,1,0.11716057360172272,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\hardware_repeats\runs\brio_wu_1d-float-cpu-hll-r01\config.cfg,hll,759,hardware_repeats,0.1,0
C:\Users\tangy\Desktop\floatpoint\build-cuda-float\hrsc_mhd.exe,6fff5259b8c970a6a89929112ad85548514b9275ffd4b4faa90f9a92a69d379c,brio_wu_1d,True,gpu,0.0,0.27812719997018576,True,True,0.0,0.0,800,1,float,0.08785521984100342,1,0.11716057360172272,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\hardware_repeats\runs\brio_wu_1d-float-gpu-hll-r01\config.cfg,hll,759,hardware_repeats,0.1,0
C:\Users\tangy\Desktop\floatpoint\build-float\hrsc_mhd.exe,5d8aadb45892fbaefd4e61f2271ae8bb8a4a64bcd12aecacc4d83f6190e05529,brio_wu_1d,True,cpu,0.0,0.13362979993689805,True,True,0.0,0.0,800,1,float,0.08785521984100342,2,0.11716057360172272,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\hardware_repeats\runs\brio_wu_1d-float-cpu-hll-r02\config.cfg,hll,759,hardware_repeats,0.1,0
C:\Users\tangy\Desktop\floatpoint\build-cuda-float\hrsc_mhd.exe,6fff5259b8c970a6a89929112ad85548514b9275ffd4b4faa90f9a92a69d379c,brio_wu_1d,True,gpu,0.0,0.2739864999894053,True,True,0.0,0.0,800,1,float,0.08785521984100342,2,0.11716057360172272,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\hardware_repeats\runs\brio_wu_1d-float-gpu-hll-r02\config.cfg,hll,759,hardware_repeats,0.1,0
C:\Users\tangy\Desktop\floatpoint\build-float\hrsc_mhd.exe,5d8aadb45892fbaefd4e61f2271ae8bb8a4a64bcd12aecacc4d83f6190e05529,brio_wu_1d,True,cpu,0.0,0.13519250007811934,True,True,0.0,0.0,800,1,float,0.08785521984100342,3,0.11716057360172272,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\hardware_repeats\runs\brio_wu_1d-float-cpu-hll-r03\config.cfg,hll,759,hardware_repeats,0.1,0
C:\Users\tangy\Desktop\floatpoint\build-cuda-float\hrsc_mhd.exe,6fff5259b8c970a6a89929112ad85548514b9275ffd4b4faa90f9a92a69d379c,brio_wu_1d,True,gpu,0.0,0.2718210000311956,True,True,0.0,0.0,800,1,float,0.08785521984100342,3,0.11716057360172272,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\hardware_repeats\runs\brio_wu_1d-float-gpu-hll-r03\config.cfg,hll,759,hardware_repeats,0.1,0
