Linf_rho_vs_fp64,binary,binary_sha256,case,cfl,completed,device,divB_max,elapsed_wall_s,finite,finite_positive,nx,ny,precision,pressure_min,rho_min,run_config,solver,steps,suite,t
0.0,C:\Users\tangy\Desktop\floatpoint\build-double\hrsc_mhd.exe,db92496738da3eb444323cd0b631d897949c951a5f6eb0350adef17bc78fb669,kelvin_helmholtz_2d,0.2,True,cpu,0.0007708,69.0872349999845,True,True,256,256,double,0.9981350653744572,0.9856441712726459,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\kh_cfl\runs\kelvin_helmholtz_2d-double-cpu-hll-cfl0p2\config.cfg,hll,2296,kh_cfl,1.0
0.0,C:\Users\tangy\Desktop\floatpoint\build-double\hrsc_mhd.exe,db92496738da3eb444323cd0b631d897949c951a5f6eb0350adef17bc78fb669,kelvin_helmholtz_2d,0.4,True,cpu,0.0006714,34.45279130002018,True,True,256,256,double,0.9981663071144827,0.9857440191033426,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\kh_cfl\runs\kelvin_helmholtz_2d-double-cpu-hll-cfl0p4\config.cfg,hll,1148,kh_cfl,1.0
0.0,C:\Users\tangy\Desktop\floatpoint\build-double\hrsc_mhd.exe,db92496738da3eb444323cd0b631d897949c951a5f6eb0350adef17bc78fb669,kelvin_helmholtz_2d,0.6,True,cpu,0.0006525,23.119552099960856,True,True,256,256,double,0.998063925241279,0.9858402849859126,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\kh_cfl\runs\kelvin_helmholtz_2d-double-cpu-hll-cfl0p6\config.cfg,hll,766,kh_cfl,1.0
0.0,C:\Users\tangy\Desktop\floatpoint\build-double\hrsc_mhd.exe,db92496738da3eb444323cd0b631d897949c951a5f6eb0350adef17bc78fb669,kelvin_helmholtz_2d,0.8,True,cpu,0.0006775,17.310761900036596,True,True,256,256,double,0.997957783695914,0.9859172244672723,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\kh_cfl\runs\kelvin_helmholtz_2d-double-cpu-hll-cfl0p8\config.cfg,hll,574,kh_cfl,1.0
4.67765087130978e-06,C:\Users\tangy\Desktop\floatpoint\build-float\hrsc_mhd.exe,5d8aadb45892fbaefd4e61f2271ae8bb8a4a64bcd12aecacc4d83f6190e05529,kelvin_helmholtz_2d,0.2,True,cpu,0.0007709,57.08377550006844,True,True,256,256,float,0.9981357455253601,0.9856449365615845,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\kh_cfl\runs\kelvin_helmholtz_2d-float-cpu-hll-cfl0p2\config.cfg,hll,2296,kh_cfl,1.0
1.7860425698401627e-06,C:\Users\tangy\Desktop\floatpoint\build-float\hrsc_mhd.exe,5d8aadb45892fbaefd4e61f2271ae8bb8a4a64bcd12aecacc4d83f6190e05529,kelvin_helmholtz_2d,0.4,True,cpu,0.0006721,28.76436599995941,True,True,256,256,float,0.998166024684906,0.9857438802719116,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\kh_cfl\runs\kelvin_helmholtz_2d-float-cpu-hll-cfl0p4\config.cfg,hll,1148,kh_cfl,1.0
2.133123104153256e-06,C:\Users\tangy\Desktop\floatpoint\build-float\hrsc_mhd.exe,5d8aadb45892fbaefd4e61f2271ae8bb8a4a64bcd12aecacc4d83f6190e05529,kelvin_helmholtz_2d,0.6,True,cpu,0.0006542,19.13456989999395,True,True,256,256,float,0.9980635643005371,0.9858403205871582,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\kh_cfl\runs\kelvin_helmholtz_2d-float-cpu-hll-cfl0p6\config.cfg,hll,766,kh_cfl,1.0
8.909590734074158e-07,C:\Users\tangy\Desktop\floatpoint\build-float\hrsc_mhd.exe,5d8aadb45892fbaefd4e61f2271ae8bb8a4a64bcd12aecacc4d83f6190e05529,kelvin_helmholtz_2d,0.8,True,cpu,0.0006817,14.54884119995404,True,True,256,256,float,0.9979576468467712,0.985917329788208,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\kh_cfl\runs\kelvin_helmholtz_2d-float-cpu-hll-cfl0p8\config.cfg,hll,574,kh_cfl,1.0
0.0,C:\Users\tangy\Desktop\floatpoint\build-double\hrsc_mhd.exe,db92496738da3eb444323cd0b631d897949c951a5f6eb0350adef17bc78fb669,kelvin_helmholtz_2d,0.2,True,cpu,0.005294,79.16169009997975,True,True,256,256,double,0.9932640184953377,0.9958242355637751,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\kh_cfl\runs\kelvin_helmholtz_2d-double-cpu-hlld-cfl0p2\config.cfg,hlld,2296,kh_cfl,1.0
0.0,C:\Users\tangy\Desktop\floatpoint\build-double\hrsc_mhd.exe,db92496738da3eb444323cd0b631d897949c951a5f6eb0350adef17bc78fb669,kelvin_helmholtz_2d,0.4,True,cpu,0.004228,40.01991440006532,True,True,256,256,double,0.9936549292765884,0.9960673168510984,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\kh_cfl\runs\kelvin_helmholtz_2d-double-cpu-hlld-cfl0p4\config.cfg,hlld,1148,kh_cfl,1.0
