case,solver,precision,resolution,cfl,gamma,steps,divB_mean,divB_max,wall_time_s,binary,binary_sha256,run_dir,status,failure_category,failure_message,output_precision_bytes,finite,physical_state,rho_min,pressure_min,rho_l1_fp32_vs_fp64,rho_l2_fp32_vs_fp64,rho_linf_fp32_vs_fp64
orszag_tang_2d,hll,double,128,0.2,1.6666666666666667,792,0.1141,1.625,6.9516375998500735,build-matrix\cpu-double-O2-ieee-leq\hrsc_mhd.exe,6cb38f91936bfa749a61fd37cfe0986d14aeec1c45764442071ea9092f0d3ccd,experiments/week21/resolution_ladder_hll_cfl02/runs/orszag_tang_2d-hll-double-n128-cfl0p2,completed,,,8,True,True,1.291427332213772,0.5225313928326691,4.63168224898054e-07,6.25977037951459e-07,4.569628492934186e-06
orszag_tang_2d,hll,double,256,0.2,1.6666666666666667,1611,0.1023,4.059,55.08168569998816,build-matrix\cpu-double-O2-ieee-leq\hrsc_mhd.exe,6cb38f91936bfa749a61fd37cfe0986d14aeec1c45764442071ea9092f0d3ccd,experiments/week21/resolution_ladder_hll_cfl02/runs/orszag_tang_2d-hll-double-n256-cfl0p2,completed,,,8,True,True,1.2713486524135822,0.4706751681161088,2.746324365865426e-06,4.23796813876824e-06,3.906569125700088e-05
orszag_tang_2d,hll,double,512,0.2,1.6666666666666667,3258,0.087,8.198,464.2428722998593,build-matrix\cpu-double-O2-ieee-leq\hrsc_mhd.exe,6cb38f91936bfa749a61fd37cfe0986d14aeec1c45764442071ea9092f0d3ccd,experiments/week21/resolution_ladder_hll_cfl02/runs/orszag_tang_2d-hll-double-n512-cfl0p2,completed,,,8,True,True,1.2473370799944283,0.4361205011075667,1.328003377420818e-05,2.5696880721746654e-05,0.001206839941521931
orszag_tang_2d,hll,float,128,0.2,1.6666666666666667,792,0.1141,1.625,5.2735778000205755,build-matrix\cpu-float-O2-ieee-leq\hrsc_mhd.exe,11f23ac25da879cdefe60ad2d05816f7be29971542ef5277c64c2bdcc5010a2e,experiments/week21/resolution_ladder_hll_cfl02/runs/orszag_tang_2d-hll-float-n128-cfl0p2,completed,,,4,True,True,1.2914272546768188,0.5225314466464789,4.63168224898054e-07,6.25977037951459e-07,4.569628492934186e-06
orszag_tang_2d,hll,float,256,0.2,1.6666666666666667,1611,0.1023,4.059,45.10276910010725,build-matrix\cpu-float-O2-ieee-leq\hrsc_mhd.exe,11f23ac25da879cdefe60ad2d05816f7be29971542ef5277c64c2bdcc5010a2e,experiments/week21/resolution_ladder_hll_cfl02/runs/orszag_tang_2d-hll-float-n256-cfl0p2,completed,,,4,True,True,1.271347999572754,0.4706744873226208,2.746324365865426e-06,4.23796813876824e-06,3.906569125700088e-05
orszag_tang_2d,hll,float,512,0.2,1.6666666666666667,3258,0.087,8.199,366.4698540000245,build-matrix\cpu-float-O2-ieee-leq\hrsc_mhd.exe,11f23ac25da879cdefe60ad2d05816f7be29971542ef5277c64c2bdcc5010a2e,experiments/week21/resolution_ladder_hll_cfl02/runs/orszag_tang_2d-hll-float-n512-cfl0p2,completed,,,4,True,True,1.247336506843567,0.43612060704039296,1.328003377420818e-05,2.5696880721746654e-05,0.001206839941521931
kelvin_helmholtz_2d,hll,double,128,0.2,1.6666666666666667,1148,6.463e-05,0.0006744,9.589815000072122,build-matrix\cpu-double-O2-ieee-leq\hrsc_mhd.exe,6cb38f91936bfa749a61fd37cfe0986d14aeec1c45764442071ea9092f0d3ccd,experiments/week21/resolution_ladder_hll_cfl02/runs/kelvin_helmholtz_2d-hll-double-n128-cfl0p2,completed,,,8,True,True,0.9756935244402158,1.0042008863519059,2.5359909342449944e-07,3.277314859513867e-07,1.385776941642547e-06
kelvin_helmholtz_2d,hll,double,256,0.2,1.6666666666666667,2296,3.968e-05,0.0007708,75.14600120019168,build-matrix\cpu-double-O2-ieee-leq\hrsc_mhd.exe,6cb38f91936bfa749a61fd37cfe0986d14aeec1c45764442071ea9092f0d3ccd,experiments/week21/resolution_ladder_hll_cfl02/runs/kelvin_helmholtz_2d-hll-double-n256-cfl0p2,completed,,,8,True,True,0.9856441712726459,0.9981350653744572,1.2034007218333963e-06,1.4850988963722962e-06,4.67765087130978e-06
kelvin_helmholtz_2d,hll,double,512,0.2,1.6666666666666667,4592,1.994e-05,0.0009945,620.5450067999773,build-matrix\cpu-double-O2-ieee-leq\hrsc_mhd.exe,6cb38f91936bfa749a61fd37cfe0986d14aeec1c45764442071ea9092f0d3ccd,experiments/week21/resolution_ladder_hll_cfl02/runs/kelvin_helmholtz_2d-hll-double-n512-cfl0p2,completed,,,8,True,True,0.9903580420636678,0.9951050558410128,2.580455253804663e-06,3.2488362961410306e-06,1.070450615303642e-05
kelvin_helmholtz_2d,hll,float,128,0.2,1.6666666666666667,1148,6.462e-05,0.0006744,7.530655500013381,build-matrix\cpu-float-O2-ieee-leq\hrsc_mhd.exe,11f23ac25da879cdefe60ad2d05816f7be29971542ef5277c64c2bdcc5010a2e,experiments/week21/resolution_ladder_hll_cfl02/runs/kelvin_helmholtz_2d-hll-float-n128-cfl0p2,completed,,,4,True,True,0.9756935238838196,1.0042010054594601,2.5359909342449944e-07,3.277314859513867e-07,1.385776941642547e-06
kelvin_helmholtz_2d,hll,float,256,0.2,1.6666666666666667,2296,3.961e-05,0.0007709,59.096023000078276,build-matrix\cpu-float-O2-ieee-leq\hrsc_mhd.exe,11f23ac25da879cdefe60ad2d05816f7be29971542ef5277c64c2bdcc5010a2e,experiments/week21/resolution_ladder_hll_cfl02/runs/kelvin_helmholtz_2d-hll-float-n256-cfl0p2,completed,,,4,True,True,0.9856449365615845,0.9981356983913635,1.2034007218333963e-06,1.4850988963722962e-06,4.67765087130978e-06
kelvin_helmholtz_2d,hll,float,512,0.2,1.6666666666666667,4592,2.03e-05,0.0009913,478.24339850014076,build-matrix\cpu-float-O2-ieee-leq\hrsc_mhd.exe,11f23ac25da879cdefe60ad2d05816f7be29971542ef5277c64c2bdcc5010a2e,experiments/week21/resolution_ladder_hll_cfl02/runs/kelvin_helmholtz_2d-hll-float-n512-cfl0p2,completed,,,4,True,True,0.9903590083122253,0.9951071894312925,2.580455253804663e-06,3.2488362961410306e-06,1.070450615303642e-05
