solver,precision_label,sigma_fp_l1,s_worst_q05,s_req,precision_margin,regime
hllc,p8,1650.59720493,0.728031965487,3.13044877797,-2.402417,precision-adequacy deficit
hllc,p16,9.49699453781,1.53752776194,3.13044877797,-1.592921,precision-adequacy deficit
hllc,p24-real-float,0.0295552208489,1.54216757349,3.13044877797,-1.588281,precision-adequacy deficit
hllc,p32,0.000142546922871,1.54217101288,3.13044877797,-1.588278,precision-adequacy deficit
hllc,p53,5.216e-11,1.54217102099,3.13044877797,-1.588278,precision-adequacy deficit
rusanov,p8,670.990218933,0.766483531518,2.95226423406,-2.185781,precision-adequacy deficit
rusanov,p16,4.12485861179,1.23056013133,2.95226423406,-1.721704,precision-adequacy deficit
rusanov,p24-real-float,0.00819945711674,1.23018618905,2.95226423406,-1.722078,precision-adequacy deficit
rusanov,p32,6.01970896621e-05,1.23019117556,2.95226423406,-1.722073,precision-adequacy deficit
rusanov,p53,2.278e-11,1.23019118308,2.95226423406,-1.722073,precision-adequacy deficit
