solver,precision,variable,s_reliability_min,s_reliability_q05,s_reliability_mean,s_accuracy_min,s_accuracy_q05,s_accuracy_mean,s_worst_min,s_worst_q05,s_worst_mean,n_cells,n_samples
hllc,p53,rho,13.225978847368163,14.686512724282093,14.876235651188422,0.06911292901522266,1.5421710209890422,5.977974548892302,0.06911292901522266,1.5421710209890422,5.804772054638113,40000,30
hllc,p53,u,7.079929298236969,7.651114768620715,12.810041313659513,-4.580622540535982,-2.0628168165172136,5.483158778425636,-4.580622540535982,-2.0628168165172136,5.043317293128472,40000,30
hllc,p53,v,7.099335557585603,7.71716954510568,12.811442904130063,-4.892999043197109,-2.0612785022727738,5.345154922381942,-4.892999043197109,-2.0612785022727738,5.0421281505906945,40000,30
hllc,p53,p,12.909641684503923,14.616061939531567,15.150372388889926,-0.19730008524098963,1.5760761537011125,5.897659579022592,-0.19730008524098963,1.5760761537011125,5.8414395170065125,40000,30
rusanov,p53,rho,13.470303477651255,14.799717946520497,15.23681334082156,0.1268793977052577,1.230191183078682,5.072863829151113,0.1268793977052577,1.230191183078682,4.964003453658105,40000,30
rusanov,p53,u,7.204874228105868,7.995113862408396,13.132622594837862,-4.316015168244706,-2.478506819967258,4.674477663705507,-4.316015168244706,-2.478506819967258,4.368328531967853,40000,30
rusanov,p53,v,7.1806856478173415,7.981140199981541,13.1336518378588,-4.327384229057986,-2.4785078506734823,4.53544988529519,-4.327384229057986,-2.4785078506734823,4.36714616350895,40000,30
rusanov,p53,p,13.130748867913105,14.577436618624438,15.19812193290994,-0.09506223489167265,1.1210516316245613,5.208508448134484,-0.09506223489167265,1.1210516316245613,5.150658535073427,40000,30
hllc,p24-real-float,rho,4.968942255082681,5.798302444556263,6.071092983360215,0.06911305540521266,1.542167573490249,4.340222598988357,0.06911305540521266,1.542167573490249,4.097230812423926,40000,30
hllc,p24-real-float,u,-1.555430491783003,-0.7681518287064335,3.996259479800048,-4.580626309476392,-2.057310119241951,2.2856752771482207,-4.580626309476392,-2.057310119241951,1.9500340313032116,40000,30
hllc,p24-real-float,v,-1.5564914220635304,-0.8957278569308958,3.986450918307344,-4.893003323341389,-2.0575149935635006,2.3017339448543477,-4.893003323341389,-2.0575149935635006,1.9395316728228176,40000,30
hllc,p24-real-float,p,4.620300128513259,5.694935045347862,6.407493197933032,-0.1972999836160839,1.5760763154067445,4.370610147966293,-0.1972999836160839,1.5760763154067445,4.165792745328939,40000,30
rusanov,p24-real-float,rho,5.241847820177887,5.941050242983118,6.60900850638892,0.12687948614141728,1.2301861890514545,3.848854143659817,0.12687948614141728,1.2301861890514545,3.670943271415775,40000,30
rusanov,p24-real-float,u,-1.4681932821890962,-0.5714236544713902,4.370237388205372,-4.316026510047098,-2.4785071633224454,2.064078404081257,-4.316026510047098,-2.4785071633224454,1.7984830296210457,40000,30
rusanov,p24-real-float,v,-1.473918616105772,-0.7345208984143591,4.341358965834495,-4.3273962998788145,-2.4785091198958566,2.108035992165439,-4.3273962998788145,-2.4785091198958566,1.7808705927742379,40000,30
rusanov,p24-real-float,p,4.915962344221902,5.7709170471015385,6.5438636804757095,-0.09506375409972984,1.1210537460714884,3.9841556596769014,-0.09506375409972984,1.1210537460714884,3.8450887365117064,40000,30
